217326876629,259219,838391
16176108851491,1932911,8368781
5160231211379021,64857589,79562489
77616591610406987,368471849,210644563
16109633929644995737,3150071857,5114052841
105644479943311753791653,306078543347,345154804999
751524924299448040960953803,22067380680593,34055918786971
4414695068913916769281742596579,518576022323329,8513110670129251
87588522991017483900310468292133619,344307368204641069,254390498372833951
4689418162612336256336121270959900558231,56694018883486426681,82714513011499497551
60950107998306599493318632349674497962314113567591,8360854094803944843679019,7289938002408811252907189
646841563271440078077803991868053152302650748688653979,710343331012431660601917473,910604119207419935255377723
5733007859485912248606004877733668567892905265892481714579,24717953404632939208279023989,231936995981688445373959886311
260453371593774726570115258451988162613145398525601550110958166859,440284685381106684388786776991141,591556736451844787908308299837999
3584557220994604477832699306061881597478862981281870239172566073727939,75570935955004297962125694570745279,47433013442216544961639242117708541
